1	1	2	30	-1	28	51	-41.90857868	-19.21588832	-12.83030457	1
1	12	10	19	-1	14	12	-41.90857868	-19.21588832	-12.83030457	1
1	0	8	7	-1	21	19	-41.90857868	-19.21588832	-12.83030457	1
-1	0	4	27	-1	49	48	-41.90857868	-19.21588832	-12.83030457	1
-1	3	6	6	-1	17	28	-41.90857868	-19.21588832	-12.83030457	1
-1	5	1	3	-1	40	42	-41.90857868	-19.21588832	-12.83030457	1
-1	3	2	20	-1	20	40	-41.90857868	-19.21588832	-12.83030457	1
1	2	1	33	-1	24	35	-41.90857868	-19.21588832	-12.83030457	1
-1	0	1	11	-1	14	14	-41.90857868	-19.21588832	-12.83030457	1
1	7	5	15	-1	15	19	-41.90857868	-19.21588832	-12.83030457	1
-1	12	8	55	-1	57	57	-41.90857868	-19.21588832	-12.83030457	1
-1	13	8	44	-1	4	6	-41.90857868	-19.21588832	-12.83030457	1
1	4	9	5	-1	25	18	-41.90857868	-19.21588832	-12.83030457	1
-1	6	6	8	-1	49	55	-41.90857868	-19.21588832	-12.83030457	1
-1	0	2	4	-1	17	28	-41.90857868	-19.21588832	-12.83030457	1
1	8	4	19	-1	19	17	-41.90857868	-19.21588832	-12.83030457	1
1	3	6	18	-1	25	56	-41.90857868	-19.21588832	-12.83030457	1
-1	3	7	31	-1	22	16	-41.90857868	-19.21588832	-12.83030457	1
1	4	8	15	-1	33	34	-41.90857868	-19.21588832	-12.83030457	1
1	1	9	10	-1	52	52	-41.90857868	-19.21588832	-12.83030457	1
-1	3	4	26	-1	41	58	-41.90857868	-19.21588832	-12.83030457	1
1	0	3	9	-1	40	34	-41.90857868	-19.21588832	-12.83030457	1
-1	3	4	11	-1	49	55	-41.90857868	-19.21588832	-12.83030457	1
1	6	7	46	-1	51	38	-41.90857868	-19.21588832	-12.83030457	1
-1	4	3	58	-1	69	74	-41.90857868	-19.21588832	-12.83030457	1
1	1	2	32	-1	35	24	14.71142132	28.53411168	-15.77030457	2
1	12	10	74	-1	22	19	14.71142132	28.53411168	-15.77030457	2
1	0	8	33	-1	27	33	14.71142132	28.53411168	-15.77030457	2
-1	0	4	61	-1	24	35	14.71142132	28.53411168	-15.77030457	2
-1	3	6	81	-1	27	25	14.71142132	28.53411168	-15.77030457	2
-1	5	1	59	-1	21	32	14.71142132	28.53411168	-15.77030457	2
-1	3	2	0	-1	33	32	14.71142132	28.53411168	-15.77030457	2
1	2	1	29	-1	30	27	14.71142132	28.53411168	-15.77030457	2
-1	0	1	21	-1	34	36	14.71142132	28.53411168	-15.77030457	2
1	7	5	21	-1	33	30	14.71142132	28.53411168	-15.77030457	2
-1	12	8	79	-1	31	33	14.71142132	28.53411168	-15.77030457	2
-1	13	8	63	-1	30	27	14.71142132	28.53411168	-15.77030457	2
1	4	9	17	-1	16	28	14.71142132	28.53411168	-15.77030457	2
