5	1	37.333333	5	4.666667	-1
5	1	34	1.666667	6	-1
5	-1	33.333333	2	5	-1
5	-1	15	3.333333	3	-1
5	1	35	3.333333	2.333333	-1
5	-1	39.333333	6.666667	5.333333	-1
5	-1	22.333333	4.333333	5.666667	-1
5	1	35	3	5.333333	-1
5	1	22	0.333333	5	-1
5	-1	39	4.666667	3.666667	-1
6	1	55	5	4.666667	1
6	1	56.333333	1.666667	6	1
6	-1	49.666667	2	5	1
6	-1	28	3.333333	3	1
6	1	65.666667	3.333333	2.333333	1
6	-1	48	6.666667	5.333333	1
6	-1	31.333333	4.333333	5.666667	1
6	1	61.333333	3	5.333333	1
6	1	22.333333	0.333333	5	1
6	-1	55	4.666667	3.666667	1
7	1	55.666667	5	4.666667	-1
7	1	59.666667	1.666667	6	-1
7	-1	58.333333	2	5	-1
7	-1	44	3.333333	3	-1
7	1	55.666667	3.333333	2.333333	-1
7	-1	43	6.666667	5.333333	-1
7	-1	28	4.333333	5.666667	-1
7	1	40.666667	3	5.333333	-1
7	1	15	0.333333	5	-1
7	-1	43.333333	4.666667	3.666667	-1
8	1	9.333333	5	4.666667	-1
8	1	15.666667	1.666667	6	-1
8	-1	14	2	5	-1
8	-1	5.333333	3.333333	3	-1
8	1	9.666667	3.333333	2.333333	-1
8	-1	21.333333	6.666667	5.333333	-1
8	-1	4	4.333333	5.666667	-1
8	1	16.333333	3	5.333333	-1
8	1	10.333333	0.333333	5	-1
8	-1	6.666667	4.666667	3.666667	-1
9	1	37.666667	5	4.666667	-1
9	1	48	1.666667	6	-1
9	-1	56.666667	2	5	-1
9	-1	7.333333	3.333333	3	-1
9	1	32.333333	3.333333	2.333333	-1
9	-1	41.333333	6.666667	5.333333	-1
9	-1	26	4.333333	5.666667	-1
9	1	24.333333	3	5.333333	-1
9	1	5	0.333333	5	-1
9	-1	38	4.666667	3.666667	-1
10	1	15	5	4.666667	-1
10	1	35	1.666667	6	-1
10	-1	31.333333	2	5	-1
10	-1	6.666667	3.333333	3	-1
10	1	37	3.333333	2.333333	-1
10	-1	30.333333	6.666667	5.333333	-1
10	-1	33	4.333333	5.666667	-1
10	1	35.666667	3	5.333333	-1
10	1	11.333333	0.333333	5	-1
10	-1	22.333333	4.666667	3.666667	-1
11	1	22.333333	5	4.666667	-1
11	1	16.666667	1.666667	6	-1
11	-1	14	2	5	-1
11	-1	9.666667	3.333333	3	-1
11	1	12	3.333333	2.333333	-1
11	-1	14.666667	6.666667	5.333333	-1
11	-1	6.333333	4.333333	5.666667	-1
11	1	18	3	5.333333	-1
11	1	8.333333	0.333333	5	-1
11	-1	16.666667	4.666667	3.666667	-1
12	1	9.666667	5	4.666667	-1
12	1	21	1.666667	6	-1
12	-1	11.333333	2	5	-1
12	-1	3.666667	3.333333	3	-1
12	1	13	3.333333	2.333333	-1
12	-1	18.333333	6.666667	5.333333	-1
12	-1	5.333333	4.333333	5.666667	-1
12	1	13	3	5.333333	-1
12	1	3	0.333333	5	-1
12	-1	20	4.666667	3.666667	-1
13	1	23	5	4.666667	-1
13	1	38	1.666667	6	-1
13	-1	45.666667	2	5	-1
13	-1	11	3.333333	3	-1
13	1	20	3.333333	2.333333	-1
13	-1	39	6.666667	5.333333	-1
13	-1	21	4.333333	5.666667	-1
13	1	39.333333	3	5.333333	-1
13	1	13.666667	0.333333	5	-1
13	-1	47.666667	4.666667	3.666667	-1
14	1	48	5	4.666667	1
14	1	40.666667	1.666667	6	1
14	-1	48.666667	2	5	1
14	-1	7.666667	3.333333	3	1
14	1	62	5	2.5	1
14	-1	38	6.666667	5.333333	1
14	-1	23	4.333333	5.666667	1
14	1	37.666667	3	5.333333	1
14	1	25.333333	0.333333	5	1
14	-1	41.333333	4.666667	3.666667	1
15	1	54.333333	5	4.666667	1
15	1	45	1.666667	6	1
15	-1	47.333333	2	5	1
15	-1	17	3.333333	3	1
15	1	45.333333	3.333333	2.333333	1
15	-1	52.666667	6.666667	5.333333	1
15	-1	30.666667	4.333333	5.666667	1
15	1	24	3	5.333333	1
15	1	18.666667	0.333333	5	1
15	-1	65	7	4.5	1
16	1	36.333333	5	4.666667	1
16	1	41	1.666667	6	1
16	-1	45.666667	2	5	1
16	-1	20.333333	3.333333	3	1
16	1	36.666667	3.333333	2.333333	1
16	-1	54.333333	6.666667	5.333333	1
16	-1	31.333333	4.333333	5.666667	1
16	1	39.666667	3	5.333333	1
16	1	41	0.333333	5	1
16	-1	48.666667	4.666667	3.666667	1
17	1	27.333333	5	4.666667	1
17	1	39	1.666667	6	1
